board	best_move
....x....	0
.o..x..x.	0
.o.oxx.x.	0
.o.x...x.	6
.o.x.x...	4
.o.xox.x.	0
.o.xx....	0
.x.......	0
.x..o..x.	0
.x.xo....	0
o....x..x	2
o....x.x.	2
o...ox.xx	1
o...x...x	2
o...xo.xx	1
o...xx...	3
o.o.x.x.x	1
o.o.x.xx.	1
o.x.....x	1
o.x....x.	6
o.x...x..	1
o.x..o.xx	6
o.x..ox.x	1
o.x..oxx.	1
o.x..x...	1
o.x.o..xx	1
o.x.o.x.x	1
o.x.ox.x.	8
o.x.oxx..	8
o.x.x....	6
o.x.x..ox	1
o.x.xo..x	6
o.x.xo.x.	1
o.x.xx.o.	1
oo...x.xx	2
oo...xx.x	2
oo...xxx.	2
oo..x..xx	2
oo..x.x.x	2
oo..x.xx.	2
oo..xx..x	2
oo..xx.x.	2
oo..xxoxx	2
oo..xxx..	2
oo..xxxox	2
oo..xxxxo	2
oo.oxx.xx	2
oo.x...xx	2
oo.x..x.x	2
oo.x..xx.	2
oo.x.x..x	2
oo.x.x.x.	2
oo.x.xoxx	2
oo.x.xx..	2
oo.x.xxox	2
oo.x.xxxo	2
oo.xox.xx	2
oo.xoxx.x	2
oo.xoxxx.	2
oo.xx...x	2
oo.xx..x.	2
oo.xx.oxx	2
oo.xx.x..	2
oo.xx.xox	2
oo.xx.xxo	2
oo.xxo.xx	2
oo.xxox.x	2
oo.xxoxx.	2
oox....xx	3
oox...x.x	3
oox...xx.	3
oox..x.x.	3
oox..xx..	3
oox..xxxo	4
oox.oxxx.	8
oox.x...x	3
oox.x..x.	6
oox.x.oxx	3
oox.xo.xx	6
oox.xx...	3
oox.xx.xo	3
oox.xxox.	3
ooxo.xxx.	4
ooxox..xx	6
ooxoxx.x.	6
ooxx....x	4
ooxx...x.	4
ooxx..oxx	5
ooxx..x..	4
ooxx..xox	4
ooxx..xxo	4
ooxx.o.xx	6
ooxx.ox.x	4
ooxx.oxx.	4
ooxx.x...	4
ooxx.x.xo	4
ooxx.xox.	4
ooxx.xx.o	4
ooxx.xxo.	4
ooxxo..xx	5
ooxxo.x.x	7
ooxxo.xx.	8
ooxxox.x.	8
ooxxoxx..	7
ooxxx....	5
ooxxx..ox	5
ooxxx..xo	5
ooxxx.o.x	5
ooxxx.ox.	5
ooxxxo..x	6
ooxxxo.x.	6
ooxxxooxx	-1
ox......x	4
ox.....x.	4
ox....x..	4
ox....xox	2
ox...o.xx	2
ox...ox.x	7
ox...oxx.	2
ox...x...	6
ox...x.ox	2
ox...xo.x	2
ox...xox.	3
ox...xx.o	4
ox...xxo.	2
ox..o..xx	6
ox..o.x.x	7
ox..o.xx.	8
ox..ox..x	2
ox..ox.x.	2
ox..oxx..	8
ox..oxxox	2
ox..x....	7
ox..x..ox	2
ox..x.o.x	3
ox..x.x.o	2
ox..x.xo.	2
ox..xo..x	7
ox..xox..	2
ox..xoxox	2
ox..xx..o	2
ox..xx.o.	3
ox..xxo..	3
ox.x.....	4
ox.x.o..x	4
ox.x.o.x.	4
ox.x.x..o	4
ox.xo...x	2
ox.xoo.xx	6
ox.xox...	2
ox.xx...o	2
ox.xxo...	7
ox.xxo.ox	2
oxo...x.x	7
oxo...xx.	3
oxo.x.x..	7
oxo.x.xox	3
oxox....x	4
oxox...x.	4
oxox..x..	8
oxox..xox	4
oxox..xxo	4
oxox.x...	4
oxox.xo.x	4
oxox.xox.	4
oxox.xxo.	4
oxoxo..xx	6
oxoxo.x.x	7
oxoxo.xx.	8
oxoxox.x.	6
oxoxoxx..	8
oxoxoxxox	-1
oxoxx....	5
oxoxx..ox	5
oxoxx.o.x	5
oxoxx.x.o	5
oxoxx.xo.	5
oxx......	3
oxx....ox	5
oxx....xo	4
oxx...o.x	3
oxx...ox.	3
oxx...x.o	4
oxx...xo.	4
oxx..o..x	3
oxx..o.x.	4
oxx..ooxx	3
oxx..ox..	4
oxx..oxox	4
oxx..x..o	3
oxx..x.o.	8
oxx..xo..	3
oxx.o...x	5
oxx.o..x.	3
oxx.o.oxx	3
oxx.o.x..	3
oxx.o.xox	5
oxx.oo.xx	3
oxx.oox.x	3
oxx.ooxx.	3
oxx.ox...	8
oxx.oxox.	3
oxx.oxxo.	8
oxx.x...o	3
oxx.x..o.	6
oxx.x.o..	3
oxx.xo...	3
oxx.xo.ox	6
oxx.xoo.x	3
oxx.xxo.o	3
oxxx....o	4
oxxx...o.	8
oxxx.o...	4
oxxx.o.ox	4
oxxx.oxo.	4
oxxxo....	8
oxxxo..ox	5
oxxxoo..x	6
oxxxoo.x.	8
oxxxoox..	8
oxxxooxox	-1
oxxxox.o.	8
oxxxxo.o.	6
x........	4
x....o.x.	4
x...o...x	1
x...ox...	1
x...xo...	1
x.x....o.	1
x.x.o....	1
xo......x	4
xo.....x.	6
xo....x..	2
xo...ox.x	2
